city,country,year,week,lat,lon,avg_temp_week,max_temp_week,min_temp_weekday,date,alpha-3,region
Rome,Italy,2023,17,41.9,12.48,15.542857142857144,22.0,9.3,17-2023,ITA,Europe
Lima,Peru,2023,28,-12.05,-77.05,18.828571428571426,24.4,15.6,28-2023,PER,Americas
Barcelona,Spain,2023,11,41.38,2.18,14.057142857142855,21.6,11.1,11-2023,ESP,Europe
Medellin,Colombia,2022,48,6.29,-75.54,16.585714285714285,25.3,12.6,48-2022,COL,Americas
Berlin,Germany,2023,19,52.52,13.4,13.714285714285714,21.5,5.1,19-2023,DEU,Europe
Lima,Peru,2023,21,-12.05,-77.05,19.842857142857138,24.0,17.5,21-2023,PER,Americas
Florianopolis,Brazil,2023,15,-27.58,-48.57,21.671428571428574,29.8,18.2,15-2023,BRA,Americas
Rome,Italy,2023,32,41.9,12.48,24.5,32.5,18.5,32-2023,ITA,Europe
Barcelona,Spain,2023,10,41.38,2.18,14.328571428571431,22.8,8.3,10-2023,ESP,Europe
Rome,Italy,2023,25,41.9,12.48,25.62857142857143,36.5,17.2,25-2023,ITA,Europe
Tallinn,Estonia,2023,33,59.43,24.73,18.87142857142857,26.2,12.6,33-2023,EST,Europe
Rome,Italy,2023,14,41.9,12.48,10.528571428571428,20.2,3.8,14-2023,ITA,Europe
Rome,Italy,2023,39,41.9,12.48,22.2,30.0,15.7,39-2023,ITA,Europe
Lisbon,Portugal,2023,35,38.72,-9.13,20.614285714285717,26.6,16.7,35-2023,PRT,Europe
Rome,Italy,2023,38,41.9,12.48,24.257142857142856,31.5,18.5,38-2023,ITA,Europe
Barcelona,Spain,2023,33,41.38,2.18,26.714285714285715,30.1,23.6,33-2023,ESP,Europe
Barcelona,Spain,2023,23,41.38,2.18,21.457142857142856,25.6,17.0,23-2023,ESP,Europe
Buenos Aires,Argentina,2022,43,-34.59,-58.67,18.97142857142857,32.7,8.9,43-2022,ARG,Americas
Rome,Italy,2023,08,41.9,12.48,11.657142857142857,18.4,6.4,08-2023,ITA,Europe
Medellin,Colombia,2023,42,6.29,-75.54,15.6,24.0,9.7,42-2023,COL,Americas
Barcelona,Spain,2023,16,41.38,2.18,14.985714285714286,19.4,10.5,16-2023,ESP,Europe
Lima,Peru,2022,47,-12.05,-77.05,18.97142857142857,24.0,15.4,47-2022,PER,Americas
Florianopolis,Brazil,2023,36,-27.58,-48.57,18.3,25.8,14.3,36-2023,BRA,Americas
Tallinn,Estonia,2023,20,59.43,24.73,11.685714285714285,20.3,4.0,20-2023,EST,Europe
Berlin,Germany,2023,04,52.52,13.4,0.557142857142857,2.9,-1.6,04-2023,DEU,Europe
Lima,Peru,2023,06,-12.05,-77.05,23.414285714285715,28.5,20.2,06-2023,PER,Americas
Lisbon,Portugal,2023,14,38.72,-9.13,17.12857142857143,25.8,10.7,14-2023,PRT,Europe
Berlin,Germany,2022,46,52.52,13.4,6.914285714285714,14.0,-2.0,46-2022,DEU,Europe
Berlin,Germany,2023,03,52.52,13.4,2.357142857142857,9.7,-2.3,03-2023,DEU,Europe
Lisbon,Portugal,2023,15,38.72,-9.13,16.02857142857143,25.0,9.9,15-2023,PRT,Europe
Medellin,Colombia,2023,27,6.29,-75.54,19.21428571428572,25.3,15.7,27-2023,COL,Americas
Rome,Italy,2023,12,41.9,12.48,13.57142857142857,21.4,8.2,12-2023,ITA,Europe
Florianopolis,Brazil,2022,48,-27.58,-48.57,21.87142857142857,26.9,19.5,48-2022,BRA,Americas
Medellin,Colombia,2023,23,6.29,-75.54,18.857142857142858,27.1,14.6,23-2023,COL,Americas
Lisbon,Portugal,2022,48,38.72,-9.13,13.128571428571428,18.6,9.0,48-2022,PRT,Europe
Florianopolis,Brazil,2023,18,-27.58,-48.57,21.485714285714284,28.4,17.0,18-2023,BRA,Americas
Medellin,Colombia,2023,22,6.29,-75.54,18.585714285714285,25.2,14.5,22-2023,COL,Americas
Buenos Aires,Argentina,2023,37,-34.59,-58.67,15.085714285714285,24.4,7.5,37-2023,ARG,Americas
Tallinn,Estonia,2022,50,59.43,24.73,-6.357142857142857,-0.9,-12.2,50-2022,EST,Europe
Rome,Italy,2022,44,41.9,12.48,18.357142857142858,26.4,13.0,44-2022,ITA,Europe
Tallinn,Estonia,2023,18,59.43,24.73,4.3428571428571425,10.8,-0.6,18-2023,EST,Europe
Barcelona,Spain,2023,24,41.38,2.18,23.571428571428573,30.1,19.0,24-2023,ESP,Europe
Florianopolis,Brazil,2023,11,-27.58,-48.57,23.95714285714286,31.6,19.2,11-2023,BRA,Americas
Medellin,Colombia,2023,18,6.29,-75.54,19.385714285714283,29.5,14.2,18-2023,COL,Americas
Lima,Peru,2023,20,-12.05,-77.05,19.900000000000002,25.9,17.2,20-2023,PER,Americas
Florianopolis,Brazil,2023,27,-27.58,-48.57,17.400000000000002,26.1,13.0,27-2023,BRA,Americas
Buenos Aires,Argentina,2023,23,-34.59,-58.67,15.528571428571428,24.7,7.7,23-2023,ARG,Americas
Lisbon,Portugal,2023,03,38.72,-9.13,13.057142857142859,17.4,7.9,03-2023,PRT,Europe
Barcelona,Spain,2023,29,41.38,2.18,27.22857142857143,35.4,22.9,29-2023,ESP,Europe
Florianopolis,Brazil,2023,21,-27.58,-48.57,20.085714285714285,27.6,15.0,21-2023,BRA,Americas
Berlin,Germany,2023,26,52.52,13.4,19.785714285714285,31.0,12.1,26-2023,DEU,Europe
Rome,Italy,2022,52,41.9,12.48,12.314285714285713,17.7,8.4,52-2022,ITA,Europe
Rome,Italy,2023,36,41.9,12.48,25.800000000000004,32.6,18.7,36-2023,ITA,Europe
Lisbon,Portugal,2023,16,38.72,-9.13,18.1,29.2,11.9,16-2023,PRT,Europe
Lima,Peru,2023,07,-12.05,-77.05,23.62857142857143,27.4,20.8,07-2023,PER,Americas
Lima,Peru,2022,46,-12.05,-77.05,18.3,23.2,15.4,46-2022,PER,Americas
Lisbon,Portugal,2023,18,38.72,-9.13,19.142857142857142,27.1,13.9,18-2023,PRT,Europe
Buenos Aires,Argentina,2023,29,-34.59,-58.67,11.042857142857143,25.2,0.4,29-2023,ARG,Americas
Rome,Italy,2023,07,41.9,12.48,8.785714285714286,16.9,1.5,07-2023,ITA,Europe
Lisbon,Portugal,2022,46,38.72,-9.13,17.028571428571432,21.7,13.2,46-2022,PRT,Europe
Berlin,Germany,2023,02,52.52,13.4,6.8999999999999995,11.1,3.7,02-2023,DEU,Europe
Rome,Italy,2022,50,41.9,12.48,11.528571428571428,16.4,6.5,50-2022,ITA,Europe
