city,country,year,week,lat,lon,avg_temp_week,max_temp_week,min_temp_weekday,date,alpha-3,region
Barcelona,Spain,2022,46,41.38,2.18,17.314285714285713,22.0,12.8,46-2022,ESP,Europe
Barcelona,Spain,2023,01,41.38,2.18,11.483333333333333,16.6,7.7,01-2023,ESP,Europe
Florianopolis,Brazil,2023,26,-27.58,-48.57,18.685714285714283,28.8,13.4,26-2023,BRA,Americas
Medellin,Colombia,2022,01,6.29,-75.54,15.9,20.8,13.1,01-2022,COL,Americas
Lisbon,Portugal,2022,01,38.72,-9.13,15.7,17.6,13.5,01-2022,PRT,Europe
Florianopolis,Brazil,2023,35,-27.58,-48.57,15.928571428571429,23.7,8.9,35-2023,BRA,Americas
Florianopolis,Brazil,2023,37,-27.58,-48.57,18.24285714285714,26.7,11.2,37-2023,BRA,Americas
Lima,Peru,2022,45,-12.05,-77.05,17.785714285714285,23.8,13.9,45-2022,PER,Americas
Medellin,Colombia,2023,39,6.29,-75.54,16.67142857142857,27.5,9.1,39-2023,COL,Americas
Berlin,Germany,2023,15,52.52,13.4,8.585714285714285,15.6,1.7,15-2023,DEU,Europe
Buenos Aires,Argentina,2023,21,-34.59,-58.67,17.157142857142855,22.8,8.6,21-2023,ARG,Americas
Lisbon,Portugal,2022,50,38.72,-9.13,15.028571428571428,18.6,11.8,50-2022,PRT,Europe
Buenos Aires,Argentina,2023,09,-34.59,-58.67,29.199999999999996,42.0,18.5,09-2023,ARG,Americas
Medellin,Colombia,2023,17,6.29,-75.54,17.642857142857142,26.5,12.8,17-2023,COL,Americas
Rome,Italy,2023,40,41.9,12.48,22.614285714285717,28.7,18.5,40-2023,ITA,Europe
Lisbon,Portugal,2023,23,38.72,-9.13,20.757142857142856,28.4,16.0,23-2023,PRT,Europe
Berlin,Germany,2023,18,52.52,13.4,10.585714285714285,18.8,4.2,18-2023,DEU,Europe
Lisbon,Portugal,2023,21,38.72,-9.13,19.157142857142855,26.1,14.7,21-2023,PRT,Europe
Medellin,Colombia,2023,38,6.29,-75.54,18.128571428571426,28.1,9.3,38-2023,COL,Americas
Medellin,Colombia,2023,28,6.29,-75.54,19.67142857142857,28.3,15.5,28-2023,COL,Americas
Berlin,Germany,2023,07,52.52,13.4,6.328571428571429,12.1,0.4,07-2023,DEU,Europe
Rome,Italy,2023,24,41.9,12.48,22.185714285714287,30.0,16.8,24-2023,ITA,Europe
Lisbon,Portugal,2023,41,38.72,-9.13,22.614285714285717,29.8,18.7,41-2023,PRT,Europe
Medellin,Colombia,2022,42,6.29,-75.54,16.8,22.4,13.7,42-2022,COL,Americas
Berlin,Germany,2023,25,52.52,13.4,21.64285714285714,30.1,13.2,25-2023,DEU,Europe
Florianopolis,Brazil,2023,03,-27.58,-48.57,24.242857142857144,30.1,20.7,03-2023,BRA,Americas
Medellin,Colombia,2023,25,6.29,-75.54,19.62857142857143,29.2,13.5,25-2023,COL,Americas
Tallinn,Estonia,2023,08,59.43,24.73,-3.3,0.4,-8.1,08-2023,EST,Europe
Berlin,Germany,2023,21,52.52,13.4,15.842857142857142,26.6,7.9,21-2023,DEU,Europe
Tallinn,Estonia,2023,42,59.43,24.73,8.0,8.9,6.9,42-2023,EST,Europe
Berlin,Germany,2023,23,52.52,13.4,20.271428571428572,28.9,9.2,23-2023,DEU,Europe
Rome,Italy,2023,28,41.9,12.48,28.87142857142857,37.1,22.3,28-2023,ITA,Europe
Lisbon,Portugal,2023,20,38.72,-9.13,19.142857142857142,29.3,13.6,20-2023,PRT,Europe
Tallinn,Estonia,2023,28,59.43,24.73,16.95714285714286,24.1,10.5,28-2023,EST,Europe
Lima,Peru,2023,23,-12.05,-77.05,19.128571428571426,24.9,16.4,23-2023,PER,Americas
Berlin,Germany,2023,40,52.52,13.4,16.514285714285716,27.0,10.7,40-2023,DEU,Europe
Medellin,Colombia,2023,24,6.29,-75.54,18.82857142857143,27.7,13.7,24-2023,COL,Americas
Medellin,Colombia,2022,46,6.29,-75.54,17.4,23.3,13.0,46-2022,COL,Americas
Berlin,Germany,2023,13,52.52,13.4,7.0857142857142845,17.3,-1.3,13-2023,DEU,Europe
Tallinn,Estonia,2023,25,59.43,24.73,19.242857142857144,28.2,13.0,25-2023,EST,Europe
Medellin,Colombia,2023,13,6.29,-75.54,15.62857142857143,26.5,9.0,13-2023,COL,Americas
Lima,Peru,2023,33,-12.05,-77.05,18.21428571428571,22.7,15.1,33-2023,PER,Americas
Rome,Italy,2023,15,41.9,12.48,11.62857142857143,19.7,5.3,15-2023,ITA,Europe
Medellin,Colombia,2022,44,6.29,-75.54,17.328571428571426,24.2,13.4,44-2022,COL,Americas
Rome,Italy,2023,22,41.9,12.48,20.82857142857143,27.0,15.0,22-2023,ITA,Europe
Tallinn,Estonia,2022,42,59.43,24.73,7.2,10.2,3.9,42-2022,EST,Europe
Tallinn,Estonia,2023,27,59.43,24.73,15.471428571428572,20.0,10.6,27-2023,EST,Europe
Florianopolis,Brazil,2023,08,-27.58,-48.57,22.499999999999996,30.2,16.9,08-2023,BRA,Americas
Medellin,Colombia,2023,30,6.29,-75.54,20.242857142857144,30.1,15.6,30-2023,COL,Americas
Lima,Peru,2022,52,-12.05,-77.05,21.171428571428574,25.2,18.5,52-2022,PER,Americas
Buenos Aires,Argentina,2023,19,-34.59,-58.67,15.014285714285714,23.3,9.0,19-2023,ARG,Americas
Barcelona,Spain,2022,44,41.38,2.18,19.314285714285717,23.5,13.7,44-2022,ESP,Europe
Florianopolis,Brazil,2023,04,-27.58,-48.57,25.728571428571428,32.9,21.1,04-2023,BRA,Americas
Rome,Italy,2023,10,41.9,12.48,11.72857142857143,17.3,6.1,10-2023,ITA,Europe
Rome,Italy,2023,11,41.9,12.48,12.171428571428573,19.8,6.7,11-2023,ITA,Europe
Tallinn,Estonia,2023,41,59.43,24.73,8.342857142857142,14.5,3.2,41-2023,EST,Europe
Florianopolis,Brazil,2022,53,-27.58,-48.57,24.4,29.8,20.1,53-2022,BRA,Americas
Rome,Italy,2022,43,41.9,12.48,20.171428571428574,27.0,15.1,43-2022,ITA,Europe
Florianopolis,Brazil,2023,01,-27.58,-48.57,22.833333333333332,30.1,17.3,01-2023,BRA,Americas
Tallinn,Estonia,2022,49,59.43,24.73,-4.1571428571428575,-0.2,-8.9,49-2022,EST,Europe
Berlin,Germany,2023,39,52.52,13.4,18.942857142857143,27.0,11.0,39-2023,DEU,Europe
Medellin,Colombia,2023,33,6.29,-75.54,18.442857142857143,27.9,13.9,33-2023,COL,Americas
Tallinn,Estonia,2022,01,59.43,24.73,1.4,4.4,-0.7,01-2022,EST,Europe
Buenos Aires,Argentina,2023,25,-34.59,-58.67,11.514285714285714,18.7,3.5,25-2023,ARG,Americas
Buenos Aires,Argentina,2023,24,-34.59,-58.67,8.742857142857144,15.6,2.6,24-2023,ARG,Americas
Tallinn,Estonia,2023,24,59.43,24.73,17.285714285714285,24.7,5.6,24-2023,EST,Europe
Tallinn,Estonia,2023,39,59.43,24.73,14.442857142857145,20.7,9.8,39-2023,EST,Europe
Berlin,Germany,2022,50,52.52,13.4,-2.9714285714285715,0.4,-6.4,50-2022,DEU,Europe
Berlin,Germany,2023,12,52.52,13.4,10.0,17.3,5.1,12-2023,DEU,Europe
Lisbon,Portugal,2023,34,38.72,-9.13,24.44285714285714,33.4,17.7,34-2023,PRT,Europe
Florianopolis,Brazil,2023,34,-27.58,-48.57,17.485714285714288,30.4,12.2,34-2023,BRA,Americas
Medellin,Colombia,2023,37,6.29,-75.54,18.185714285714287,27.6,9.8,37-2023,COL,Americas
Lima,Peru,2022,49,-12.05,-77.05,19.3,23.3,16.6,49-2022,PER,Americas
Berlin,Germany,2023,20,52.52,13.4,12.928571428571429,21.0,5.2,20-2023,DEU,Europe
Lisbon,Portugal,2022,43,38.72,-9.13,19.457142857142856,23.6,16.8,43-2022,PRT,Europe
Berlin,Germany,2023,28,52.52,13.4,23.9,35.2,15.0,28-2023,DEU,Europe
Berlin,Germany,2022,42,52.52,13.4,11.05,15.2,5.5,42-2022,DEU,Europe
Rome,Italy,2023,21,41.9,12.48,19.95714285714286,28.7,13.6,21-2023,ITA,Europe
Buenos Aires,Argentina,2023,18,-34.59,-58.67,16.057142857142857,24.5,9.0,18-2023,ARG,Americas
Barcelona,Spain,2023,09,41.38,2.18,7.799999999999999,14.1,1.5,09-2023,ESP,Europe
Buenos Aires,Argentina,2022,42,-34.59,-58.67,18.65,24.7,13.1,42-2022,ARG,Americas
Lima,Peru,2023,42,-12.05,-77.05,18.5,21.3,16.2,42-2023,PER,Americas
Barcelona,Spain,2022,53,41.38,2.18,14.2,17.9,11.3,53-2022,ESP,Europe
Lima,Peru,2023,10,-12.05,-77.05,23.842857142857145,29.3,20.4,10-2023,PER,Americas
Barcelona,Spain,2023,27,41.38,2.18,24.828571428571426,30.8,21.5,27-2023,ESP,Europe
Tallinn,Estonia,2023,04,59.43,24.73,-1.014285714285714,3.3,-7.6,04-2023,EST,Europe
Barcelona,Spain,2023,04,41.38,2.18,6.7,11.2,2.3,04-2023,ESP,Europe
Florianopolis,Brazil,2023,13,-27.58,-48.57,23.557142857142853,33.2,19.9,13-2023,BRA,Americas
Rome,Italy,2022,49,41.9,12.48,12.542857142857143,16.6,9.7,49-2022,ITA,Europe
Buenos Aires,Argentina,2022,51,-34.59,-58.67,24.985714285714288,33.6,16.9,51-2022,ARG,Americas
Barcelona,Spain,2023,15,41.38,2.18,15.27142857142857,23.9,10.2,15-2023,ESP,Europe
Buenos Aires,Argentina,2023,06,-34.59,-58.67,29.542857142857144,40.9,17.5,06-2023,ARG,Americas
Barcelona,Spain,2023,26,41.38,2.18,25.32857142857143,31.5,20.9,26-2023,ESP,Europe
Rome,Italy,2022,01,41.9,12.48,12.4,17.8,8.9,01-2022,ITA,Europe
Tallinn,Estonia,2023,11,59.43,24.73,0.07142857142857155,4.3,-6.2,11-2023,EST,Europe
Medellin,Colombia,2023,08,6.29,-75.54,17.485714285714288,27.4,12.2,08-2023,COL,Americas
Florianopolis,Brazil,2023,32,-27.58,-48.57,17.942857142857143,26.3,13.7,32-2023,BRA,Americas
Barcelona,Spain,2023,07,41.38,2.18,9.942857142857141,17.3,4.2,07-2023,ESP,Europe
Tallinn,Estonia,2023,14,59.43,24.73,1.557142857142857,9.0,-3.6,14-2023,EST,Europe
Tallinn,Estonia,2023,40,59.43,24.73,10.514285714285716,15.6,4.6,40-2023,EST,Europe
Barcelona,Spain,2023,20,41.38,2.18,17.2,21.4,13.4,20-2023,ESP,Europe
Tallinn,Estonia,2023,10,59.43,24.73,-5.171428571428571,2.0,-13.6,10-2023,EST,Europe
Lisbon,Portugal,2023,22,38.72,-9.13,19.128571428571426,25.8,14.4,22-2023,PRT,Europe
Buenos Aires,Argentina,2022,01,-34.59,-58.67,24.2,27.0,21.1,01-2022,ARG,Americas
Berlin,Germany,2022,49,52.52,13.4,1.6571428571428573,4.0,-1.2,49-2022,DEU,Europe
Florianopolis,Brazil,2022,50,-27.58,-48.57,23.071428571428573,32.7,17.8,50-2022,BRA,Americas
Buenos Aires,Argentina,2022,47,-34.59,-58.67,23.12857142857143,35.7,12.5,47-2022,ARG,Americas
Rome,Italy,2023,34,41.9,12.48,30.02857142857143,38.4,23.6,34-2023,ITA,Europe
Lisbon,Portugal,2022,49,38.72,-9.13,13.985714285714284,17.8,7.8,49-2022,PRT,Europe
Rome,Italy,2023,41,41.9,12.48,22.21428571428572,28.8,17.9,41-2023,ITA,Europe
Lima,Peru,2023,15,-12.05,-77.05,22.842857142857138,27.0,20.5,15-2023,PER,Americas
Lima,Peru,2022,01,-12.05,-77.05,22.1,25.3,19.4,01-2022,PER,Americas
Buenos Aires,Argentina,2023,03,-34.59,-58.67,29.4,39.2,21.9,03-2023,ARG,Americas
Berlin,Germany,2023,24,52.52,13.4,18.457142857142856,27.4,12.5,24-2023,DEU,Europe
Florianopolis,Brazil,2023,39,-27.58,-48.57,18.771428571428572,25.2,14.3,39-2023,BRA,Americas
Barcelona,Spain,2022,52,41.38,2.18,13.314285714285715,19.6,9.2,52-2022,ESP,Europe
Lisbon,Portugal,2023,33,38.72,-9.13,21.642857142857142,29.0,17.1,33-2023,PRT,Europe
Barcelona,Spain,2023,39,41.38,2.18,23.242857142857144,27.2,20.2,39-2023,ESP,Europe
Berlin,Germany,2023,08,52.52,13.4,5.757142857142857,10.5,-0.3,08-2023,DEU,Europe
Florianopolis,Brazil,2022,43,-27.58,-48.57,20.342857142857145,26.8,16.7,43-2022,BRA,Americas
Lisbon,Portugal,2023,17,38.72,-9.13,19.342857142857145,29.9,12.5,17-2023,PRT,Europe
Medellin,Colombia,2023,35,6.29,-75.54,18.557142857142857,29.0,9.9,35-2023,COL,Americas
Tallinn,Estonia,2023,22,59.43,24.73,10.171428571428574,17.1,4.7,22-2023,EST,Europe
Barcelona,Spain,2023,36,41.38,2.18,24.657142857142855,28.6,21.7,36-2023,ESP,Europe
Florianopolis,Brazil,2023,06,-27.58,-48.57,24.642857142857142,30.6,20.5,06-2023,BRA,Americas
Buenos Aires,Argentina,2023,30,-34.59,-58.67,11.157142857142857,16.9,6.4,30-2023,ARG,Americas
Medellin,Colombia,2023,32,6.29,-75.54,19.7,28.2,14.1,32-2023,COL,Americas
Buenos Aires,Argentina,2023,01,-34.59,-58.67,26.63333333333333,35.8,16.3,01-2023,ARG,Americas
Barcelona,Spain,2023,02,41.38,2.18,11.471428571428572,17.0,7.3,02-2023,ESP,Europe
Rome,Italy,2023,01,41.9,12.48,11.766666666666666,17.0,7.1,01-2023,ITA,Europe
Berlin,Germany,2023,41,52.52,13.4,14.514285714285714,22.9,7.6,41-2023,DEU,Europe
Lisbon,Portugal,2023,07,38.72,-9.13,12.885714285714284,19.6,8.2,07-2023,PRT,Europe
Buenos Aires,Argentina,2022,50,-34.59,-58.67,24.77142857142857,39.6,15.4,50-2022,ARG,Americas
Barcelona,Spain,2022,42,41.38,2.18,22.0,24.9,20.3,42-2022,ESP,Europe
Berlin,Germany,2022,51,52.52,13.4,1.6714285714285713,8.2,-6.8,51-2022,DEU,Europe
Lima,Peru,2023,11,-12.05,-77.05,24.12857142857143,29.0,21.1,11-2023,PER,Americas
Florianopolis,Brazil,2022,49,-27.58,-48.57,23.599999999999998,29.1,18.6,49-2022,BRA,Americas
Buenos Aires,Argentina,2023,33,-34.59,-58.67,14.342857142857142,25.0,4.0,33-2023,ARG,Americas
Lima,Peru,2023,01,-12.05,-77.05,21.25,25.8,18.5,01-2023,PER,Americas
Medellin,Colombia,2023,19,6.29,-75.54,19.142857142857142,29.8,14.7,19-2023,COL,Americas
Rome,Italy,2023,20,41.9,12.48,15.985714285714286,23.0,10.8,20-2023,ITA,Europe
Buenos Aires,Argentina,2023,15,-34.59,-58.67,18.871428571428574,29.8,10.2,15-2023,ARG,Americas
Medellin,Colombia,2023,04,6.29,-75.54,17.414285714285715,26.7,12.4,04-2023,COL,Americas
Medellin,Colombia,2023,21,6.29,-75.54,18.657142857142855,24.4,14.2,21-2023,COL,Americas
Barcelona,Spain,2023,17,41.38,2.18,17.557142857142857,22.6,13.4,17-2023,ESP,Europe
Barcelona,Spain,2023,06,41.38,2.18,8.742857142857144,16.5,4.4,06-2023,ESP,Europe
Tallinn,Estonia,2022,51,59.43,24.73,-0.9571428571428571,2.9,-10.5,51-2022,EST,Europe
Florianopolis,Brazil,2023,12,-27.58,-48.57,24.7,33.7,20.0,12-2023,BRA,Americas
Lisbon,Portugal,2023,37,38.72,-9.13,21.32857142857143,27.7,17.9,37-2023,PRT,Europe
Lisbon,Portugal,2023,26,38.72,-9.13,23.214285714285715,31.9,16.8,26-2023,PRT,Europe
Berlin,Germany,2023,29,52.52,13.4,20.214285714285715,30.1,13.9,29-2023,DEU,Europe
Tallinn,Estonia,2023,01,59.43,24.73,-4.3,1.9,-11.8,01-2023,EST,Europe
Florianopolis,Brazil,2023,40,-27.58,-48.57,17.87142857142857,22.3,12.7,40-2023,BRA,Americas
Tallinn,Estonia,2023,16,59.43,24.73,6.114285714285714,13.2,1.0,16-2023,EST,Europe
Lisbon,Portugal,2022,47,38.72,-9.13,16.085714285714285,19.9,12.6,47-2022,PRT,Europe
Barcelona,Spain,2023,14,41.38,2.18,13.299999999999999,19.4,8.6,14-2023,ESP,Europe
Barcelona,Spain,2023,38,41.38,2.18,23.185714285714287,28.1,17.9,38-2023,ESP,Europe
Berlin,Germany,2023,10,52.52,13.4,2.2142857142857144,10.9,-1.7,10-2023,DEU,Europe
Berlin,Germany,2023,32,52.52,13.4,17.557142857142857,27.0,11.7,32-2023,DEU,Europe
Tallinn,Estonia,2023,34,59.43,24.73,16.714285714285715,22.6,12.5,34-2023,EST,Europe
Florianopolis,Brazil,2023,30,-27.58,-48.57,17.642857142857142,26.1,13.0,30-2023,BRA,Americas
Lima,Peru,2022,48,-12.05,-77.05,19.47142857142857,25.0,16.7,48-2022,PER,Americas
Florianopolis,Brazil,2023,20,-27.58,-48.57,18.04285714285714,25.6,12.6,20-2023,BRA,Americas
Buenos Aires,Argentina,2023,26,-34.59,-58.67,12.200000000000001,18.0,6.8,26-2023,ARG,Americas
Lima,Peru,2023,25,-12.05,-77.05,18.771428571428572,25.4,15.9,25-2023,PER,Americas
Florianopolis,Brazil,2023,14,-27.58,-48.57,21.114285714285717,30.2,16.7,14-2023,BRA,Americas
Lima,Peru,2023,35,-12.05,-77.05,18.114285714285717,21.6,15.6,35-2023,PER,Americas
Rome,Italy,2023,30,41.9,12.48,28.057142857142857,38.8,20.7,30-2023,ITA,Europe
Lisbon,Portugal,2023,05,38.72,-9.13,9.542857142857143,16.3,3.9,05-2023,PRT,Europe
Rome,Italy,2022,51,41.9,12.48,11.100000000000003,15.6,5.9,51-2022,ITA,Europe
Buenos Aires,Argentina,2023,42,-34.59,-58.67,17.9,24.6,12.0,42-2023,ARG,Americas
Medellin,Colombia,2023,36,6.29,-75.54,18.37142857142857,28.3,9.8,36-2023,COL,Americas
Buenos Aires,Argentina,2023,17,-34.59,-58.67,20.285714285714285,29.0,14.8,17-2023,ARG,Americas
Buenos Aires,Argentina,2023,20,-34.59,-58.67,17.57142857142857,25.6,10.9,20-2023,ARG,Americas
Berlin,Germany,2022,52,52.52,13.4,6.328571428571429,10.8,2.0,52-2022,DEU,Europe
Tallinn,Estonia,2023,02,59.43,24.73,-0.19999999999999993,4.1,-10.6,02-2023,EST,Europe
Lima,Peru,2023,12,-12.05,-77.05,23.471428571428568,29.3,20.8,12-2023,PER,Americas
Lima,Peru,2023,38,-12.05,-77.05,17.885714285714286,21.3,15.2,38-2023,PER,Americas
Florianopolis,Brazil,2023,29,-27.58,-48.57,15.428571428571429,22.1,11.0,29-2023,BRA,Americas
Lima,Peru,2023,32,-12.05,-77.05,18.285714285714285,22.3,15.0,32-2023,PER,Americas
Rome,Italy,2022,45,41.9,12.48,15.371428571428572,22.6,9.7,45-2022,ITA,Europe
Lima,Peru,2023,30,-12.05,-77.05,18.25714285714286,23.8,15.3,30-2023,PER,Americas
Rome,Italy,2023,18,41.9,12.48,16.428571428571427,24.7,11.3,18-2023,ITA,Europe
Buenos Aires,Argentina,2023,35,-34.59,-58.67,12.514285714285714,21.0,5.9,35-2023,ARG,Americas
Rome,Italy,2023,33,41.9,12.48,26.928571428571434,35.0,20.2,33-2023,ITA,Europe
Lisbon,Portugal,2022,52,38.72,-9.13,14.87142857142857,18.2,11.6,52-2022,PRT,Europe
Buenos Aires,Argentina,2023,40,-34.59,-58.67,16.228571428571428,24.9,8.3,40-2023,ARG,Americas
Buenos Aires,Argentina,2023,34,-34.59,-58.67,11.871428571428572,18.9,6.8,34-2023,ARG,Americas
Tallinn,Estonia,2023,30,59.43,24.73,16.071428571428573,21.5,10.5,30-2023,EST,Europe
Tallinn,Estonia,2023,06,59.43,24.73,-0.7285714285714284,2.3,-7.3,06-2023,EST,Europe
Tallinn,Estonia,2023,05,59.43,24.73,-1.1714285714285713,2.2,-5.3,05-2023,EST,Europe
Medellin,Colombia,2023,41,6.29,-75.54,15.257142857142858,25.2,9.3,41-2023,COL,Americas
Rome,Italy,2023,03,41.9,12.48,8.7,13.1,3.3,03-2023,ITA,Europe
Florianopolis,Brazil,2023,19,-27.58,-48.57,19.357142857142858,27.4,12.8,19-2023,BRA,Americas
Rome,Italy,2023,37,41.9,12.48,25.085714285714285,32.1,20.3,37-2023,ITA,Europe
Buenos Aires,Argentina,2022,46,-34.59,-58.67,23.157142857142855,34.5,14.1,46-2022,ARG,Americas
Lisbon,Portugal,2023,30,38.72,-9.13,21.614285714285717,30.6,16.4,30-2023,PRT,Europe
Berlin,Germany,2022,48,52.52,13.4,3.2428571428571433,7.7,-0.9,48-2022,DEU,Europe
Buenos Aires,Argentina,2023,05,-34.59,-58.67,25.2,33.2,18.1,05-2023,ARG,Americas
Barcelona,Spain,2023,05,41.38,2.18,8.728571428571428,16.7,3.0,05-2023,ESP,Europe
Berlin,Germany,2023,06,52.52,13.4,0.6428571428571427,7.9,-4.0,06-2023,DEU,Europe
Lisbon,Portugal,2023,19,38.72,-9.13,18.5,26.7,12.7,19-2023,PRT,Europe
Barcelona,Spain,2023,12,41.38,2.18,14.785714285714288,20.3,11.5,12-2023,ESP,Europe
Lisbon,Portugal,2023,25,38.72,-9.13,21.957142857142856,33.8,15.8,25-2023,PRT,Europe
Barcelona,Spain,2023,42,41.38,2.18,21.4,22.1,20.9,42-2023,ESP,Europe
Tallinn,Estonia,2022,47,59.43,24.73,-1.9857142857142855,1.2,-5.7,47-2022,EST,Europe
Florianopolis,Brazil,2023,05,-27.58,-48.57,25.185714285714283,31.6,21.3,05-2023,BRA,Americas
Tallinn,Estonia,2023,23,59.43,24.73,12.6,19.2,6.9,23-2023,EST,Europe
Barcelona,Spain,2023,40,41.38,2.18,23.557142857142853,26.4,21.7,40-2023,ESP,Europe
Rome,Italy,2023,19,41.9,12.48,16.242857142857144,24.4,12.0,19-2023,ITA,Europe
Florianopolis,Brazil,2022,51,-27.58,-48.57,20.87142857142857,26.1,17.8,51-2022,BRA,Americas
Berlin,Germany,2023,27,52.52,13.4,19.699999999999996,31.5,13.3,27-2023,DEU,Europe
Lima,Peru,2023,05,-12.05,-77.05,22.74285714285714,26.1,20.2,05-2023,PER,Americas
Rome,Italy,2023,42,41.9,12.48,21.4,24.2,19.6,42-2023,ITA,Europe
Lima,Peru,2022,42,-12.05,-77.05,16.75,21.2,13.7,42-2022,PER,Americas
Rome,Italy,2022,46,41.9,12.48,14.314285714285715,19.2,10.0,46-2022,ITA,Europe
Medellin,Colombia,2023,14,6.29,-75.54,17.799999999999997,24.6,13.0,14-2023,COL,Americas
Tallinn,Estonia,2023,38,59.43,24.73,14.914285714285715,23.0,7.8,38-2023,EST,Europe
Tallinn,Estonia,2023,03,59.43,24.73,0.6571428571428571,4.2,-5.8,03-2023,EST,Europe
Tallinn,Estonia,2023,09,59.43,24.73,-1.0571428571428572,2.8,-9.1,09-2023,EST,Europe
Lisbon,Portugal,2023,12,38.72,-9.13,14.828571428571431,21.4,10.0,12-2023,PRT,Europe
Berlin,Germany,2022,44,52.52,13.4,13.471428571428572,20.3,6.9,44-2022,DEU,Europe
Rome,Italy,2023,35,41.9,12.48,23.3,33.5,17.6,35-2023,ITA,Europe
Berlin,Germany,2023,33,52.52,13.4,23.657142857142855,31.7,17.4,33-2023,DEU,Europe
Lima,Peru,2023,36,-12.05,-77.05,18.185714285714287,21.2,15.2,36-2023,PER,Americas
Lima,Peru,2023,17,-12.05,-77.05,22.185714285714287,26.4,19.6,17-2023,PER,Americas
Barcelona,Spain,2022,49,41.38,2.18,11.414285714285715,16.6,7.3,49-2022,ESP,Europe
Berlin,Germany,2022,45,52.52,13.4,10.8,15.6,6.0,45-2022,DEU,Europe
Berlin,Germany,2023,16,52.52,13.4,9.371428571428572,20.0,3.1,16-2023,DEU,Europe
Buenos Aires,Argentina,2023,16,-34.59,-58.67,16.428571428571427,26.0,8.4,16-2023,ARG,Americas
Lisbon,Portugal,2023,31,38.72,-9.13,22.6,33.6,16.2,31-2023,PRT,Europe
Barcelona,Spain,2022,47,41.38,2.18,13.671428571428573,17.8,8.8,47-2022,ESP,Europe
